Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 5.645
10.000 90.435 5.768
20.000 91.728 5.421
30.000 93.841 5.171
40.000 96.718 3.378
50.000 100.289 3.610
60.000 104.478 2.608
70.000 109.207 2.261
80.000 114.404 2.355
90.000 120.000 1.630
100.000 125.932 0.823
110.000 132.145 1.145
120.000 138.590 2.234
130.000 145.225 4.678
140.000 152.009 3.767
150.000 158.909 5.651
160.000 165.894 8.048
170.000 172.933 8.794
180.000 180.000 8.722
