Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 2.412
10.000 90.435 2.421
20.000 91.728 2.626
30.000 93.841 2.626
40.000 96.718 2.665
50.000 100.289 2.472
60.000 104.478 2.586
70.000 109.207 2.670
80.000 114.404 2.817
90.000 120.000 2.881
100.000 125.932 3.062
110.000 132.145 3.323
120.000 138.590 3.534
130.000 145.225 3.723
140.000 152.009 3.891
150.000 158.909 4.145
160.000 165.894 4.263
170.000 172.933 4.257
180.000 180.000 4.253
