Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 5.890
10.000 90.435 5.914
20.000 91.728 5.606
30.000 93.841 5.011
40.000 96.718 5.265
50.000 100.289 5.127
60.000 104.478 4.594
70.000 109.207 3.062
80.000 114.404 2.474
90.000 120.000 1.155
100.000 125.932 0.868
110.000 132.145 2.361
120.000 138.590 3.812
130.000 145.225 5.358
140.000 152.009 6.414
150.000 158.909 6.704
160.000 165.894 8.090
170.000 172.933 8.316
180.000 180.000 8.567
