Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 1.017
10.000 90.435 1.166
20.000 91.728 1.818
30.000 93.841 2.596
40.000 96.718 3.351
50.000 100.289 3.847
60.000 104.478 3.511
70.000 109.207 2.017
80.000 114.404 0.367
90.000 120.000 2.953
100.000 125.932 4.882
110.000 132.145 5.906
120.000 138.590 5.452
130.000 145.225 3.876
140.000 152.009 1.003
150.000 158.909 2.933
160.000 165.894 6.948
170.000 172.933 9.408
180.000 180.000 10.313
