Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.574
10.000 90.435 0.617
20.000 91.728 0.776
30.000 93.841 0.976
40.000 96.718 1.281
50.000 100.289 1.659
60.000 104.478 1.978
70.000 109.207 2.283
80.000 114.404 2.595
90.000 120.000 2.499
100.000 125.932 2.372
110.000 132.145 1.881
120.000 138.590 1.240
130.000 145.225 0.436
140.000 152.009 0.493
150.000 158.909 1.415
160.000 165.894 2.192
170.000 172.933 2.662
180.000 180.000 2.863
