Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.038
10.000 90.435 0.039
20.000 91.728 0.042
30.000 93.841 0.047
40.000 96.718 0.054
50.000 100.289 0.062
60.000 104.478 0.070
70.000 109.207 0.079
80.000 114.404 0.088
90.000 120.000 0.098
100.000 125.932 0.107
110.000 132.145 0.115
120.000 138.590 0.124
130.000 145.225 0.130
140.000 152.009 0.136
150.000 158.909 0.141
160.000 165.894 0.143
170.000 172.933 0.146
180.000 180.000 0.147
