Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.551
10.000 90.435 0.263
20.000 91.728 0.643
30.000 93.841 1.383
40.000 96.718 2.424
50.000 100.289 3.492
60.000 104.478 4.680
70.000 109.207 5.668
80.000 114.404 6.289
90.000 120.000 6.106
100.000 125.932 5.364
110.000 132.145 3.745
120.000 138.590 1.754
130.000 145.225 2.235
140.000 152.009 5.048
150.000 158.909 7.946
160.000 165.894 10.562
170.000 172.933 12.102
180.000 180.000 12.611
