Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.249
10.000 90.435 0.249
20.000 91.728 0.248
30.000 93.841 0.249
40.000 96.718 0.248
50.000 100.289 0.253
60.000 104.478 0.254
70.000 109.207 0.254
80.000 114.404 0.255
90.000 120.000 0.258
100.000 125.932 0.260
110.000 132.145 0.258
120.000 138.590 0.259
130.000 145.225 0.259
140.000 152.009 0.261
150.000 158.909 0.261
160.000 165.894 0.262
170.000 172.933 0.263
180.000 180.000 0.262
