Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.843
10.000 90.435 0.832
20.000 91.728 0.810
30.000 93.841 0.700
40.000 96.718 0.663
50.000 100.289 0.677
60.000 104.478 0.950
70.000 109.207 1.310
80.000 114.404 1.560
90.000 120.000 1.625
100.000 125.932 1.403
110.000 132.145 0.848
120.000 138.590 0.831
130.000 145.225 1.941
140.000 152.009 3.359
150.000 158.909 4.797
160.000 165.894 5.987
170.000 172.933 6.880
180.000 180.000 7.134
